Date,Currency,Exchange
2015-11-02,CAD,1.2611
2015-11-02,AUD,1.291
2015-11-02,EUR,0.8839
2015-11-02,GBP,0.6537
2015-12-02,USD,1.0
2015-12-02,CAD,1.256
2015-12-02,AUD,1.3031
2015-12-02,EUR,0.8828
2015-12-02,GBP,0.6511
2015-01-01,USD,1.0
2015-01-01,CAD,1.2508
2015-01-01,AUD,1.2907
2015-01-01,EUR,0.8787
2015-01-01,GBP,0.6503
2015-01-01,USD,1.0
2015-01-01,CAD,1.2508
2015-01-01,AUD,1.2907
2015-01-01,EUR,0.8787
2015-01-01,GBP,0.6503
2015-01-01,USD,1.0
2015-01-01,CAD,1.2508
2015-01-01,AUD,1.2907
2015-01-01,EUR,0.8787
2015-01-01,GBP,0.6503
2015-01-01,USD,1.0
2015-01-01,CAD,1.2453
2015-01-01,AUD,1.2859
2015-01-01,EUR,0.8766
2015-01-01,GBP,0.6505
2015-01-01,USD,1.0
2015-01-01,CAD,1.2374
2015-01-01,AUD,1.2784
2015-01-01,EUR,0.876
2015-01-01,GBP,0.6512
2015-01-01,USD,1.0
2015-01-01,CAD,1.245
2015-01-01,AUD,1.2837
2015-01-01,EUR,0.8794
2015-01-01,GBP,0.6483
2015-01-01,USD,1.0
2015-01-01,CAD,1.252
2015-01-01,AUD,1.285
2015-01-01,EUR,0.8782
2015-01-01,GBP,0.648
2015-01-01,USD,1.0
2015-01-01,CAD,1.2456
2015-01-01,AUD,1.2745
2015-01-01,EUR,0.8851
2015-01-01,GBP,0.6504
2015-01-01,USD,1.0
2015-01-01,CAD,1.2456
2015-01-01,AUD,1.2745
2015-01-01,EUR,0.8851
2015-01-01,GBP,0.6504
2015-01-01,USD,1.0
2015-01-01,CAD,1.2456
2015-01-01,AUD,1.2745
2015-01-01,EUR,0.8851
2015-01-01,GBP,0.6504
2015-01-01,USD,1.0
2015-01-01,CAD,1.2618
2015-01-01,AUD,1.2843
2015-01-01,EUR,0.8851
2015-01-01,GBP,0.6507
2015-01-01,USD,1.0
2015-01-01,CAD,1.2643
2015-01-01,AUD,1.2896
2015-01-01,EUR,0.8828
2015-01-01,GBP,0.6483
2015-01-01,USD,1.0
2015-01-01,CAD,1.2441
2015-01-01,AUD,1.2681
2015-01-01,EUR,0.8814
2015-01-01,GBP,0.6459
2015-01-01,USD,1.0
2015-01-01,CAD,1.247
2015-01-01,AUD,1.2686
2015-01-01,EUR,0.8836
2015-01-01,GBP,0.6451
2015-01-01,USD,1.0
2015-01-01,CAD,1.2451
2015-01-01,AUD,1.2774
2015-01-01,EUR,0.8897
2015-01-01,GBP,0.6475
2015-01-01,USD,1.0
2015-01-01,CAD,1.2451
2015-01-01,AUD,1.2774
2015-01-01,EUR,0.8897
2015-01-01,GBP,0.6475
2015-01-03,USD,1.0
2015-01-03,CAD,1.2451
2015-01-03,AUD,1.2774
2015-01-03,EUR,0.8897
2015-01-03,GBP,0.6475
2015-02-03,USD,1.0
2015-02-03,CAD,1.2492
2015-02-03,AUD,1.2856
2015-02-03,EUR,0.8907
2015-02-03,GBP,0.6497
2015-03-03,USD,1.0
2015-03-03,CAD,1.2519
2015-03-03,AUD,1.2794
2015-03-03,EUR,0.8954
2015-03-03,GBP,0.6515
2015-04-03,USD,1.0
2015-04-03,CAD,1.2515
2015-04-03,AUD,1.2757
2015-04-03,EUR,0.899
2015-04-03,GBP,0.6526
2015-05-03,USD,1.0
2015-05-03,CAD,1.244
2015-05-03,AUD,1.2833
2015-05-03,EUR,0.9034
2015-05-03,GBP,0.6551
2015-06-03,USD,1.0
2015-06-03,CAD,1.2466
2015-06-03,AUD,1.2761
2015-06-03,EUR,0.9122
2015-06-03,GBP,0.6586
2015-07-03,USD,1.0
2015-07-03,CAD,1.2466
2015-07-03,AUD,1.2761
2015-07-03,EUR,0.9122
2015-07-03,GBP,0.6586
2015-08-03,USD,1.0
2015-08-03,CAD,1.2466
2015-08-03,AUD,1.2761
2015-08-03,EUR,0.9122
2015-08-03,GBP,0.6586
2015-09-03,USD,1.0
2015-09-03,CAD,1.2591
2015-09-03,AUD,1.2931
2015-09-03,EUR,0.9208
2015-09-03,GBP,0.6617
2015-10-03,USD,1.0
2015-10-03,CAD,1.2634
2015-10-03,AUD,1.3069
2015-10-03,EUR,0.9313
2015-10-03,GBP,0.6638
2015-11-03,USD,1.0
2015-11-03,CAD,1.2698
2015-11-03,AUD,1.314
2015-11-03,EUR,0.9454
2015-11-03,GBP,0.6651
2015-12-03,USD,1.0
2015-12-03,CAD,1.2656
2015-12-03,AUD,1.2976
2015-12-03,EUR,0.9422
2015-12-03,GBP,0.6681
2015-01-01,USD,1.0
2015-01-01,CAD,1.2734
2015-01-01,AUD,1.3053
2015-01-01,EUR,0.9459
2015-01-01,GBP,0.6766
2015-01-01,USD,1.0
2015-01-01,CAD,1.2734
2015-01-01,AUD,1.3053
2015-01-01,EUR,0.9459
2015-01-01,GBP,0.6766
2015-01-01,USD,1.0
2015-01-01,CAD,1.2734
2015-01-01,AUD,1.3053
2015-01-01,EUR,0.9459
2015-01-01,GBP,0.6766
2015-01-01,USD,1.0
2015-01-01,CAD,1.2781
2015-01-01,AUD,1.3069
2015-01-01,EUR,0.9472
2015-01-01,GBP,0.6755
2015-01-01,USD,1.0
2015-01-01,CAD,1.2774
2015-01-01,AUD,1.3083
2015-01-01,EUR,0.9403
2015-01-01,GBP,0.677
2015-01-01,USD,1.0
2015-01-01,CAD,1.2824
2015-01-01,AUD,1.3124
2015-01-01,EUR,0.9441
2015-01-01,GBP,0.6826
2015-01-01,USD,1.0
2015-01-01,CAD,1.2717
2015-01-01,AUD,1.308
2015-01-01,EUR,0.9366
2015-01-01,GBP,0.6728
2015-01-01,USD,1.0
2015-01-01,CAD,1.2672
2015-01-01,AUD,1.2981
2015-01-01,EUR,0.928
2015-01-01,GBP,0.6733
2015-01-01,USD,1.0
2015-01-01,CAD,1.2672
2015-01-01,AUD,1.2981
2015-01-01,EUR,0.928
2015-01-01,GBP,0.6733
2015-01-01,USD,1.0
2015-01-01,CAD,1.2672
2015-01-01,AUD,1.2981
2015-01-01,EUR,0.928
2015-01-01,GBP,0.6733
2015-01-01,USD,1.0
2015-01-01,CAD,1.2525
2015-01-01,AUD,1.2773
2015-01-01,EUR,0.9164
2015-01-01,GBP,0.6706
2015-01-01,USD,1.0
2015-01-01,CAD,1.2465
2015-01-01,AUD,1.2642
2015-01-01,EUR,0.9132
2015-01-01,GBP,0.6707
2015-01-01,USD,1.0
2015-01-01,CAD,1.2482
2015-01-01,AUD,1.2676
2015-01-01,EUR,0.9103
2015-01-01,GBP,0.6705
2015-01-01,USD,1.0
2015-01-01,CAD,1.2442
2015-01-01,AUD,1.2749
2015-01-01,EUR,0.9113
2015-01-01,GBP,0.6717
2015-01-01,USD,1.0
2015-01-01,CAD,1.2509
2015-01-01,AUD,1.2841
2015-01-01,EUR,0.9211
2015-01-01,GBP,0.6723
2015-01-01,USD,1.0
2015-01-01,CAD,1.2509
2015-01-01,AUD,1.2841
2015-01-01,EUR,0.9211
2015-01-01,GBP,0.6723
2015-01-01,USD,1.0
2015-01-01,CAD,1.2509
2015-01-01,AUD,1.2841
2015-01-01,EUR,0.9211
2015-01-01,GBP,0.6723
2015-01-01,USD,1.0
2015-01-01,CAD,1.2641
2015-01-01,AUD,1.3055
2015-01-01,EUR,0.9221
2015-01-01,GBP,0.6757
2015-01-01,USD,1.0
2015-01-01,CAD,1.2769
2015-01-01,AUD,1.3155
2015-01-01,EUR,0.9295
2015-01-01,GBP,0.676
2015-01-04,USD,1.0
2015-01-04,CAD,1.2675
2015-01-04,AUD,1.3159
2015-01-04,EUR,0.9298
2015-01-04,GBP,0.6774
2015-02-04,USD,1.0
2015-02-04,CAD,1.2644
2015-02-04,AUD,1.3244
2015-02-04,EUR,0.9234
2015-02-04,GBP,0.6755
2015-03-04,USD,1.0
2015-03-04,CAD,1.2644
2015-03-04,AUD,1.3244
2015-03-04,EUR,0.9234
2015-03-04,GBP,0.6755
2015-04-04,USD,1.0
2015-04-04,CAD,1.2644
2015-04-04,AUD,1.3244
2015-04-04,EUR,0.9234
2015-04-04,GBP,0.6755
2015-05-04,USD,1.0
2015-05-04,CAD,1.2644
2015-05-04,AUD,1.3244
2015-05-04,EUR,0.9234
2015-05-04,GBP,0.6755
2015-06-04,USD,1.0
2015-06-04,CAD,1.2644
2015-06-04,AUD,1.3244
2015-06-04,EUR,0.9234
2015-06-04,GBP,0.6755
2015-07-04,USD,1.0
2015-07-04,CAD,1.2504
2015-07-04,AUD,1.3084
2015-07-04,EUR,0.9219
2015-07-04,GBP,0.6717
2015-08-04,USD,1.0
2015-08-04,CAD,1.2417
